DIRECTORY ALREADY EXISTS, continuing
[-38 -37 -36 -35 -34 -26 -25 -24 -23 -22 -14 -13 -12 -11 -10  -2  -1]
Creating input and output tensors...
Creating handle...
Loading data to memory...
Model initializing: Training starting...
Epoch: 0, Train Loss: 0.802618, Val Loss: 0.711357, Time: 79.61
Epoch: 90, Train Loss: nan, Val Loss: nan, Time: 217.74
Epoch: 91, Train Loss: nan, Val Loss: nan, Time: 988.55
Epoch: 92, Train Loss: nan, Val Loss: nan, Time: 106.76
Epoch: 93, Train Loss: nan, Val Loss: nan, Time: 107.65
Epoch: 94, Train Loss: nan, Val Loss: nan, Time: 107.07
Epoch: 95, Train Loss: nan, Val Loss: nan, Time: 122.87
Epoch: 96, Train Loss: nan, Val Loss: nan, Time: 501.29
Epoch: 97, Train Loss: nan, Val Loss: nan, Time: 224.37
Epoch: 98, Train Loss: nan, Val Loss: nan, Time: 173.58
Epoch: 99, Train Loss: nan, Val Loss: nan, Time: 4670.06
